start_time,open,high,low,close,volume,turnover
2026-01-07 16:15:00+00:00,4441.9,4454.9,4441.1,4451.2,445.58,1982522.2609
2026-01-07 16:30:00+00:00,4451.2,4459.7,4451.2,4459.4,311.858,1389960.8513
2026-01-07 16:45:00+00:00,4459.4,4460.0,4455.3,4457.2,161.443,719773.2877
2026-01-07 17:00:00+00:00,4457.2,4458.0,4451.6,4453.3,155.751,693577.1955
2026-01-07 17:15:00+00:00,4453.3,4456.6,4451.8,4452.4,53.822,239702.3617
2026-01-07 17:30:00+00:00,4452.4,4455.4,4449.7,4450.3,108.143,481374.0274
2026-01-07 17:45:00+00:00,4450.3,4452.4,4444.2,4445.9,51.77,230239.4812
2026-01-07 18:00:00+00:00,4445.9,4446.3,4442.9,4443.4,45.896,203989.1531
2026-01-07 18:15:00+00:00,4443.4,4450.2,4442.0,4446.5,53.218,236685.34
2026-01-07 18:30:00+00:00,4446.5,4452.8,4446.5,4451.0,65.12,289837.2087
2026-01-07 18:45:00+00:00,4451.0,4451.0,4445.7,4446.8,23.649,105181.1915
2026-01-07 19:00:00+00:00,4446.8,4451.2,4443.2,4443.7,497.981,2214632.806
2026-01-07 19:15:00+00:00,4443.7,4445.4,4439.1,4445.4,405.484,1801501.3881
2026-01-07 19:30:00+00:00,4445.4,4452.6,4445.3,4449.1,43.587,193961.6123
2026-01-07 19:45:00+00:00,4449.1,4453.5,4447.5,4453.3,72.458,322450.5019
2026-01-07 20:00:00+00:00,4453.3,4455.7,4451.9,4453.6,38.945,173474.7154
2026-01-07 20:15:00+00:00,4453.6,4456.9,4452.2,4454.0,58.716,261572.3148
2026-01-07 20:30:00+00:00,4454.0,4456.0,4453.0,4453.2,22.88,101912.8323
2026-01-07 20:45:00+00:00,4453.2,4455.4,4448.3,4448.3,38.338,170654.8462
2026-01-07 21:00:00+00:00,4448.3,4450.9,4447.4,4449.8,18.418,81939.6805
2026-01-07 21:15:00+00:00,4449.8,4451.5,4449.1,4449.1,9.406,41862.5284
2026-01-07 21:30:00+00:00,4449.1,4451.2,4449.1,4451.0,30.726,136747.6629
2026-01-07 21:45:00+00:00,4451.0,4452.5,4450.1,4452.5,12.054,53657.5674
2026-01-07 22:00:00+00:00,4452.5,4455.7,4452.5,4455.7,28.138,125305.0088
2026-01-07 22:15:00+00:00,4455.7,4458.0,4455.7,4457.9,46.3,206366.9372
2026-01-07 22:30:00+00:00,4457.9,4459.3,4456.1,4458.6,87.934,392028.5413
2026-01-07 22:45:00+00:00,4458.6,4458.7,4454.5,4454.5,31.643,141040.0778
2026-01-07 23:00:00+00:00,4454.5,4458.1,4454.5,4455.7,50.59,225475.3758
2026-01-07 23:15:00+00:00,4455.7,4459.6,4455.7,4458.9,25.682,114496.5562
2026-01-07 23:30:00+00:00,4458.9,4459.2,4457.1,4459.0,15.857,70694.2699
2026-01-07 23:45:00+00:00,4459.0,4459.5,4455.4,4458.9,129.808,578495.844
2026-01-08 00:00:00+00:00,4458.9,4461.5,4458.5,4461.5,79.596,355007.1243
2026-01-08 00:15:00+00:00,4461.5,4462.4,4450.9,4453.6,78.421,349368.4078
2026-01-08 00:30:00+00:00,4453.6,4455.0,4447.0,4447.7,124.978,556157.06
2026-01-08 00:45:00+00:00,4447.7,4448.2,4444.1,4446.9,142.303,632719.5171
2026-01-08 01:00:00+00:00,4446.9,4456.0,4441.9,4452.6,130.009,578415.7467
2026-01-08 01:15:00+00:00,4452.6,4456.0,4451.1,4451.3,56.715,252585.2491
2026-01-08 01:30:00+00:00,4451.3,4453.4,4444.1,4445.6,95.284,423916.9612
2026-01-08 01:45:00+00:00,4445.6,4445.8,4438.5,4444.7,230.75,1025137.1515
2026-01-08 02:00:00+00:00,4444.7,4445.7,4437.2,4442.2,139.471,619704.2303
2026-01-08 02:15:00+00:00,4442.2,4442.3,4437.5,4437.6,51.943,230631.4954
2026-01-08 02:30:00+00:00,4437.6,4438.7,4431.4,4438.6,127.081,563628.5903
2026-01-08 02:45:00+00:00,4438.6,4440.6,4435.0,4438.9,65.703,291614.0694
2026-01-08 03:00:00+00:00,4438.9,4442.5,4436.5,4439.1,80.953,359387.0927
2026-01-08 03:15:00+00:00,4439.1,4441.5,4435.0,4440.9,24.475,108615.8692
2026-01-08 03:30:00+00:00,4440.9,4442.4,4437.3,4438.2,20.095,89209.4653
